text,tonality
"Хм, совсем неплохо! Фэнтези а-ля Спрег де Камп, только юмора гораздо меньше... Сюжет лучше, чем стиль, но и стиль вполне приятный, только вот толкин из-под каждой ёлки выглядывает :) Может, со временем появится бОльшая индивидуальность?",9
"Отличная серия, отличные герои, смешно до упаду, и все шутки не тупые, а озорные и остроумные :)) Вампиры меня порадовали, но тролли всё-таки самая убойная раса! гыгыгы:))))",10
"Имеет смысл читать, если уже прочитали Овода. Роман неплох, но Оводу уступает...",7
"Книга зачитана до дыр! Волкодав - тот, кого не бывает, но очень хочется встретить в жизни! Борьба добра со злом здесь не превращается в борьбу бобра с ослом, скорее всё выглядит слишком реально, без слащавости и пафоса... Короче, смело рекомендую для чтения всем-всем-всем!",9
"Отличная книга! Юморная, с приколами из литературы и мифологии - скандинавской, средневековой европейской... читается легко, приятно и оччень весело!",9
"Исторический роман+немного магии.. сначала кажется слегка скучновато, но незаметно книга захватывает и держит до самого конца... уфф, местами даже плакала...",7
"похоже на Угрюмову... Вообще чувствуется, что писала женщина - много описаний мыслей, эмоций, но и экшена хватает! Мне понравилось! было интересно и герои вызывали симпатию...",8
"Ура! новая книга Ольги Громыко еще веселее, чем первая! милая, добрая, жестокая, и снова восхитительно смешная и справедливая к героям книга!",9
"каждую книгу Панкеевой читаю залпом, не могу оторваться, пока не дочитаю последнюю страницу. Уже кажется, что больше нельзя ничего написать, что бы тронуло сильнее или хотя бы так же, как только что прочитанное. Но эту книгу я люблю, наверно, даже больше, чем предыдущие. Да и наконец-то начинают проясняться некоторые тайны и загадки. Аффтар пеши исчо!",10
"Точно! опять сплошные повторы, пафоса еще больше, чем в Знамении пути, читала скрипя зубами, только чтобы узнать, чем дело кончилось...",6
"не так хорошо, как дипломированный чародей, но тоже хорошо! :) встреча с любимыми героями не может не радовать!",8
"необычный взгляд на рыцарей + колдовство + магия мечей - хорошая смесь для фэнтази :) читается на одном дыхании, Дункан, как всегда, не подкачал! :)",8
"Вторая часть Волкодава более идейная, философская, но хуже она от этого не становится... если первая часть понравилась, читайте обязательно продолжение! Жаль, что дальше Семенова не потянула, выдохлась...",9
"Хоть святых вон выноси! :)))) Новые встречи, новые подвиги, но юмор все такой же убойный! :)))",10
"слабовато... вот опять, на первую-вторую книгу идей и сил хватило, а продолжение пришлось вымучивать из себя... впрочем, плохой эту книгу тоже назвать нельзя, просто она хуже предыдущих...",7
"Книга для юных и романтичных. Хоть и про революцию, но эта книга была одной из моих любимых! а в конце я каждый раз плакала, когда Овода все-таки расстреливали...",10
"приквел (то., что было раньше событий) первых двух частей. Книга неплохая, но прочитала скорее из любви к началу серии о Волкодаве. Середнячок, одним словом.",7
"мда, к концу бондианы, ой, пардон, волкадавианы Семенова, увы, выдохлась... повторы, пафос попер изо всех щелей, читала сквозь зубы, только чтобы узнать, чем дело кончилось... А ведь такое мощное было начало! Волкодав и Право на поединок как будто другим человеком написаны...",7
"действительно отличное произведение да, пожалуй, именно осенняя такая книга когда читал, переодически ловил себя на мысли, что предложения связуются не только смыслом, но и рифмой, чо добавляет некоторое дополнительно удовольствие",9
Добротный роман про альтернативное будущее. Шалыгин в очередной раз порадовал.,8
"7kingdoms - это пожалуй лучшее, что было написано в жанре фэнтези. Имхо, конечно.",10
"Стоящая вещь, вообще чем больше я читаю этих авторов, тем больше удивляюсь их философии. Всем кто любит ""думающие"" книги рекомендую!",9
"Во-первых, идеи, лежащие в основе книги очччень спорны. Я могу предположить, что обыватель скушает их и не подавится, но в книге эти идеи исходят от учёных, которым должны были броситься в глаза псевдоисторические нелепицы и несуразицы... Во-вторых само построение сюжета - стандартный детектив, написанный для тех кто не любит думать своей головой, читая книги.",4
"В этой книге вы не найдете привычных мага-эльфа, вора-хафлинга скупого дварфа и т.п. Книга написана на основе скандинавской мифологии и в этом ее главное отличие. Сначала надо ""въехать"" в этот мир, а дальше все пойдет хорошо.",8
Несмотря на некоторую однотипность сюжетных ходов - сборник весьма и весьма стоящий.,8
"Читал эту книгу в другом переводе, она называлась ""Камешек в небе"". На мой взгляд более удачное название.",7
"после ""Безымянного раба"" пришлось долго ждать продолжения понравилось но опять надо ждать следующих книг с развитием сюжета",9
"Эльфы и орки - и их отражение в нашей действительности. Книга впечатлила. Очень Целостно, едко.",10
"Жестокий спорт и деньги. Где человек перестаёт быть человеком. И как он умудряется остаться собой, когда от него отвернулось общество.",10
"Интересная книга, вот только чувствуется какая-то незавершенность. Концовки нет, от этого роман проигрывает.",6
"Три новеллы, объединенные в один роман. Единый сюжета практически нет. Третья новелла написана поинтереснеее двух. Но уровень все же выше среднего",8
"Очень интересно. Книга попала в руки случайно - название заинтересовало. Начал читать и несколько раз откладывал. Но пробившись через первый десяток сраниц, понял, что затягивает. Так и прочитал до конца за один день.",9
"Достойное завершение достойной серии. Мало таких книг и посему если в вдруг это не читали - читайте обязательно! Одна из моих любимых книг (не у автора, а вообще).",10
"Когда купил книгу, думал может хоть на пару часиков заинетересует. Что ж поделать - редко в последнее время хорошая фантастика попадаться стала. Ан нет! Зацепило :-)... В общем читать всем.",10
"Насколько помню, это одно из первых произведений автора. ИМХО одно из самых лучших! Читайте!",9
"Люблю книги, где смешиваются жанры. И фантастика и фэнтези - всё это на фоне городского пейзажа. Произведение просто отличное! Рекомендую.",9
"Произведение ИМХО чуточку послабее Архимага, но это для кого как. Тем не менее читать можно и нужно.",8
ИМХО просто здорово. Одна из первых прочитанных мною книг Бушкова и одна из самых любимых. Читать всем!,9
Книга жестокая. Книга кровавая. Но книга интересная! Всем любителям антиутопии и ужасов понравится...,9
А вот эа книжка уже посильнее первой из серии. Хотя... Может просто долго ждал? Да ладно. Читайте - интересно.,9
Классная книга! Давно так не смеялся. Читать всем кто устал от слишком серьёзной НФ - это самое то!,9
Книга неплохая. Читается легко. Но вот концовка неожиданная. Читать стоит.,8
"даже смешнее, чем первые две книги! :)",9
"Занятно, очень занятно. Прямо за Россию душа радуется. Но многое спорно... и согласно с Юрой - если бы не это бесмертие и то огромное количество денег, которое было вбухано в Россию, то нифига из этого проекта по возрождению России у автора не вышло...",8
"Книга очень смешная, узнала много о христианской морали, понравилось, что уроки нравственности подаются так интересно, что не возникает никакого протеста :). такую книгу я бы давала всем детям и их родителям для совместного чтения!",10
"К сожалению эта книга, на мой взгляд, значительно слабее ""Дозоров"" и по сюжету, и по стилю. Любовная история кажется искусственно вставленной.Раздражает также реклама пива. И вообще книга, похоже, написана по заказу Дневного Дозора, что нарушает Равновесие.Куда смотрит Инквизиция???",3
Немного отличный от Юноны и Авось взгляд на Резанова. Плюс картины правления Павла 1 и Александра 1. Резюме - Немного наивный исторический роман,7
"Неплохой, но медленно развивающийся исторический роман. Из жиэни шпионов:))) Если выбросить всяческие рассуждения о класовой борьбе и т.п. - будет совсем неплохо",8
Поржуже чем Негромкий выстрел. Затянуто и много рассуждений о классовой борьбе и т.п.,7
"Отличная книга, на мой взгляд лучшая в этой серии.Несмотря на обилие сражений и поединков, и даже на гибель некоторых героев книга читается легко.Главный герой - не ""рыцарь без страха и упрёка"", его образ меняется на протяжении романа и это делает книгу ещё интереснее. Рекомендую всем любителям героической фэнтези",9
"А это немного другая вещь получилась. Здесь мы погружаемся в жизнь другой цивилизации. Что и говорить, в чужой монастырь со своим уставом не ходи! Всем любителям серьезной фантастики цивилизаций!",9
Замечательная книга! Читается на одном дыхании.Прочитал и порекомендовал своим друзьям - понравилась почти всем!,9
"Скорость, опасность, драйв. Пожалуй такие слова лучше всего характеризуют эту книгу. Ну и некоторая путаница, благополучно разрешающаяся к концу - куда ж без этого...",10
Супер-супер!!! Я в полном восторге! Очень серьезная космическая фатнастика!,10
"Поначалу чувствовалась какая-то несерьёзность, а потом ничего, затягивает. В общем читать можно.",8
"По-моему чуток послабее чем первая книга. Но хочешь-не хочешь читать надо :), ведь тут продолжение приключений!",8
"Традиционная для Саймона Кларка атмосфера постоянной опасности, при которой не один из персонажей не застрахован от смерти. Книга написана ""на уровне"", так что почитать стоит.",8
"Отличная книга. Главный герой просто молодец - выпутывается из сложных ситуаций, мастерски владеет древним боевым искусством и никогда не забывает, что человек всю жизнь играет представление для богов. В общем любителям фэнтези читать обязательно.",9
"Можно почитать, если нет ничего другого под рукой... Но гораздо слабее действительно замечательных книг из основных серий /""Змеиные войны"" и ""Имперские войны""/",7
"Отличный роман! Прочитал в издании 1972 года, но хорошо помню до сих пор. Напряжённый и захватывающий сюжет, как в лучших детективах",9
"книга оставила после себя странное ощущение законченности с одной стороны и вопросительной недосказанности ""а как же тот, второй?"" с другой. написать хотел многое, но стер, ибо все не ТО скажу так, ни разу не пожалел ни времени, ни денег, потраченных на это произведение",9
"Я бы отнёс эту книгу в раздел ""Классика"".",9
"Довольно приятная авантюрно-приключенческая фэнтези.Отличное начало,захватывающая середина, но вот конец, на мой взгляд, слабоват и слишком предсказуем. А в-общем, стоит почитать",8
"Автор пытается сказать читателям значительно больше, чем она понимает сама",5
Странная книга. Она мне не понравилась. Но при этом я не мог от неё оторваться. И развязка стала для меня неожиданной...,8
"в целом вещь неплохая, затягивает, но шедевром я бы ее не назвала",8
"Хорошо, но.. действительно слабже первой книги по тому как сюжет замедлился нас ждет довольно длинный сериал и явно фигурирующий Враг (Разрушитель?), очень надеюсь, что это ничего не напомнит ;))) будем посмотреть )",8
"Серия средненькая... Все книги на уровне, но в принципе ничего выдающегося - славянское фэнтези как оно есть. Эта же книга оказалась приятной неожиданностью. Может ещё автор читателя удивить!",8
"Эта книга вроде бы написана по фильму... Фильм не смотрел - каюсь, но книга меня здОрово впечатлила! Ходил под впечатлением трое суток, да и потом часто припоминал.",10
Хорошая космическая фантастика. Понравилось.,8
"отличное произведение! и не конец... это самое обидное, что сериал планируетсяь ОГРОМНЫМ у меня всегда остается опасение перед большими сериалами в качестве продолжений...",9
"Когда читаешь эту книгу хочется прокричать ""не верю""! Как же, глубина, которая затягивает... Простенькая программа в совокупности с USB-напульсником, которая, реагируя на частоту пульса в нужный момент прерывает контакт с компьютером, и дайвером может стать каждый....",4
Приятная книжица а-ля Гарри Поттер...,9
"Средненькая боевая фантастика, но за неимением альтернативы можно почитать. Правда аннотация, как это часто бывает, совершенно не соответствует содержанию книги",7
"Интересное произведение. Вроде избитая ситуация, но все же не возникает желания выбросить книгу, как прочитанную. Тут интересно не ЧТО случится в конце (это и так ясно), а КАК это произойдет. Правда глупые грамматические ошибки все-таки подпортили впечатление :(",8
"книжка очень женская - герои описаны женским взглядом, немного перебор с героизмом, а вообще приятно читать про хорошего парня и другого парня, тоже вроде хорошего, но кто-то же должен быть чудовищем?",9
ужсно страшная история! после нее на обычных насекомых смотрю с опаской!,9
"откровенно мучил себя прочтением сего.. дочитал только благодаря совету друга ""положи ее в туалете, тогда через пару месяцев и прочитаешь"" истинно так..",2
супер!,10
"Одна из книг этого времени. Не сказать, что из любимых, но.. из лучших для меня",9
"1. чересчур надуманная и немного нереальная концовка 2. немного смущает подача компьютерных вещей для простого обывателя поэтому только 9, а так в целом очень понравилось",9
"Три произведения ""Врата небес"", ""Вторжение"" и ""Дорога камней"" относятся к одной серии ""Хроники опустошенных земель"" (издательство ""АСТ""). Все три произведения читаются достаточно сложно из-за манеры изложения автором. Серия явно не окончена. Учитывая, что последнее произведение этой серии издано в 2001 г., можно предположить, что продолжение этой серии издано не будет.",5
"Отличная серия! Прочитал с удовольствием и рекомендую всем. В отличие от многих других серий, третья книга не слабее первых двух, а даже интереснее",9
"Вопрос на засыпку - где вы такой анонс книги нашли? Не об этом она... Какие колеса государственной машины? Очень серьезная фантастика, где автор переплел несколько жанров - здесь и космическая фантастика, здесь и утопия, и психология чистой воды. Злая ирония и сарказм. Вера в человечество, в доброту и любовь. Всем любителям книг, где научная фатнастика переплетается с психологией души человеческой!",9
"Отличный роман. Прослеживаются аллюзии с ""Пикником на обочине"" и ""Градом обреченным"", но Громов превзошёл Стругацких.",10
"Замечательный роман! Немного наивный, но читается легко и с интересом",9
"Замечательный роман! Отличная военно-космическая фантастика с элементами детектива.На мой взгляд, уступает книгам из серии о Хонор Харрингтон, но элемент фэнтези / элемент безумия/ придаёт ей особое своеобразие",9
"Поначалу нудновато, но к середине уже сложно оторваться.",9
Одна из немногих работ написанная Сванвиком не в жанре киберпанка. Тем интересней следжить за ходом его мысли.,8
Это просто СУПЕР... Давно ничего подобного не читала.,10
"Что могу сказать... После фильма вообще не читается. Очень слаба описательная часть, все очень плоско и невыразительно. Сюжет же жалисный. Фильм если смотрели, то знаете, о чем это все.",6
Динамичная история.,8
"По сравнению с предыдущими произведениями гораздо слабее. Хотя динамика событий осталась, но сама идея и ее воплощение...... Очень жаль.",7
Автору явно стоило проконсультироваться со специалистом или почитать литературу о шифровании и вирусах.,6
"Много был наслышан об этом авторе и вот взялся прочесть. Сказать, что книга разочаровала - ничего не сказать. Смысловые ляпы на каждом шагу (например, команда ""огонь"" при стрельбе из луков в мире где нет индивидуального огнестрельного оружия и т.д.), громоздкий вычурный язык, отсутствие концовки, путешествие неизвестно куда и неизвестно зачем, слабая мотивация поступков героев. Книга гораздо ниже среднего. Теперь я начинаю понимать, почему многие не любят фэнтези.",1
"Да, тяжело читать безграмотную фэнтези. Хотя, конечно, приступы гомерического смеха спасают ситуацию. Когда потомственный дворянин называет своего вассала сюзереном, а другой потомственый дворянин этого не замечает, начинаешь сомневаться в здравом смысле автора. Плохо, очень плохо.",1
"Попытка свести сюжет предыдущих книг в единое целое. Где-то треть книги диалогов нет вообще, есть только описание странствия вора по подземельям. Мотивация у героев, как всегда отсутствует. Возможности магии приуменьшены. Если в первой книге ученица мага смогла залить овраг огнём, то в этой книге все вместе взятые архимаги не могут эффективно преломить ход битвы, размениваясь по мелочам. Олени, которые мчатся через лесную чащу быстрее, чем лошади по тракту меня умилили. Аффтор жжет.",1
"А вот и не знаю, понравилось мне в целом книга или нет... Занятный сюжетец, идея зацепила, вот только кончилось все странно, и не поняла я, в чем там дело... По этому и не могу выдать цельную оценку книги. Мож, если кто внятно объяснит, то тогда уж...",7
"ощущение от книги старнное.. в телевизионных сериалах есть понятие ""пилотная серия"", по которой смотрят нравится ли идея и все остальное или нет, и стоит ли снимть полноценный сериал ""черновик"" - имхо, ""пилотная книга"" новой серии ну чтож, будем посмотреть",8
"Впервые прочитал в 96 году. Испытал позитивный шок (если можно так выразиться). По началу было трудно разобрать где что, но потом, когда начинаешь осозновать устройство мира придуманного Олдриджем.... трудно описать. Из этого кино в тыщу раз интереснее получилось бы чем, например, те же Звездные войны. Уж пусть простят меня любители SW я и читал и смотрел все части. Больше нигде больше не встречал различные технологические штучки которые придумал автор. Оригинален так же сюжет. Очень понравилась динамичность и взаимосплетение любовной истории и кровавых убийств..... Наверное именно такое будущее может быть. P.S. Перечитвал уже 6 раз. Рекомендую всем любителям фантастики.",10
"Прочитал. Стиль легкий, но автор слишком наврал. Архимаг, проспавший 5000 лет слишком легко адаптиуется в общество. И пиво!!! Он говорит, что баночное современное пиво вкуснее лучшего натурального продукта 5000 давности. Слишком легко магом воспринята концепция современной экономики, религии, культуры. А летающий дом? Да он от одной подъемной силы развалится. По сути роман больше похож на комикс, а не на серьёзное произведение. Сказочка для детей 10-15 лет.",5
"Действительно, спорных моментов много. Но не специалистам (как я) думаю все таки будет интересно. Понравилось само посторение событий с краткими экскурсами в историю. Довольно кратко, нигде не ""размазано"" . Бывает читаешь книгу и пропускаешь абзацы, потому как совершенно неинтересно читать описание какого нибудть стручка отбрасывающего тень на.... ну и в таком духе. Здесь же этого, спасибо редактору и автору, практически нет. Отсутствует так назыаемая любовная линия, которая прослеживается в каждом американском фильме. Считаю она только повредила бы. лишь в конце на 2-х страницах какой-то намек на любовь. За это еще спасибо и большой плюс! Единственно что расстроило, это развязка. Кругом одни предатели оказались. мне показалось это слишком. Это только в кино и книжках герои могут из добрячков и весельчаков превращаться в злодеев. Итого: читабельно. ставлю 8-ку.",8
"Ой, как меня порадовали эти рассказики :-) До чего мило. И как гениально - три закона робототехники! Единственно, почему не ставлю девять или десять, некоторые рассказы немного затянуты.",8
Неплохо.Завершение совершенно нетипично для Громова.,8
"Написано смачно,но уж очень на авторов давит поражение в холодной войне",8
Увлекательное и в то же время серьёзное повествование о месте человека в обществе. Понравилось.,10
"Можно смотреть мой отзыв там, особой разницы между этими двумя книгами я не заметил.",5
"На мой пристрастный взгляд, эта книга абсолютно никакая (как книга). Возможно это из-за особенностей перевода. Зачастую, при переводе богатый язык оригинала теряется, надеюсь - это именно такой случай. Однако, одно мне стало понятно -- почему эта книга столь популярна. Эта книга идеальный сценарий для фильма, так что я не сильно удивился тому, что по ней собираются снимать (или уже снимают) фильм. И так, что мне в ней не понравилось ,и почему она так популярна (понятно ИМХО): 1) Тайные общества - не верю я в них, а вот как идея они очень притягательны. 2) Вялые и невнятные персонажи (в кино их могут вытянуть актеры, для хорошей книги черезчур невнятны) 3) Загадки которые может решить и дите (потенциально), но автор не дает данных для их решения. Заметьте, для их решени не требуются профессорские знания, просто не хватает информации, автор выдает ее после того как она бы могла понадобиться. Тем самым он ставит читателя вровень с его героем, а герой - профессор. Это ж круто!!! Я!!! разбираюсь в вопросе не хуже специалиста ученого!!! 4) Action. Я люблю хороший боевичек. Правда. Тут же... ну притянут он за уши. 5) Отличные антогонисты. Штамп на штампе. Пробы ставить негде. Кстати, после прочтения ""Ангелов и Демонов"", было подмеченно много общего между этими произведениями: стиль раскручивания сюжета, общий уровень загадок (да, да там они тоже есть), такие же положительные персонажи, не менее штампованые враги, и абсолютно такой же выверт сюжета в конце. Создается ощущение, что автора вдохнавлял Индиана Джонс, только ЧИТАТЬ о его приключениях мне не нтересно. Зато чую фильм посмотрю с удовольстием =)",5
"Отличная книга! Захватывает и в тоже время заставляет думать... И герой, как это обычно бывает у Дьяченко, далеко не рыцарь в сверкающей броне, но ты сочуствуешь ему, иногда до боли в сердце. Очень советую прочитать всем любителям фантастики и всем любителям хорошей литературы.",9
"Зашла на сайт Лукьяненко, вроде он собирается писать продолжение - ""Чистовик"", и, может быть третью часть - ""Набело"". Может там сюжет полностью раскроется?",9
Классика советской НФ,10
"Отличная социальная фантастика. Рассказано про общество, которое делает человека чужим для себя.",10
"Довольно интересненько. Как всегда бывает - первая и последняя книжки удачные - то, что в середине - не совсем.",10
"Все очень натянуто и, как всегда, проскальзывает нелюбовь автора к русской нации :(( Еле дочитала до конца",6
"А хорошо читается, правда?! :))",8
Достойное продолжение первой книги. По-моему даже более интересное.,10
"Очень ""атмосферная"" книга. Юг. Океан. Глубоководные погружения. Экзотика... В отличие от большинства антиутопий, где мир после Третьей Мировой, всё обстоит весьма неплохо. Кстати, в этой книжке описана весьма оригинальная модель глубоководного аппарата. В общем прочитать стоит.",10
Сильная книга... Местами жестокая. Но очень интересная.,10
"Очень схоже с серией ""Русские идут"" Ю.Никитина. Если не сюжетом, то сутью.",7
Очень позитивная книга :-) Сильно поднялось настроение по прочтению. Советую.,9
Читал давно. Тогда мне эта трилогия очень понравилась. Сейчас - не знаю...,8
Очень милое теплое произведение,10
"Лично мне ОЧЕНЬ понравилась! Читала на одном дыхании, хотя предыдущую книгу этого автора (""Если б я был вампиром"") даже не осилила",10
"На вкус и цвет, как говорится, товарищей нет, но мне книга понравилась. Мило, по-доброму, и кончается хорошо. А продолжение этой книги меня, честно говоря, даже немного удивило...",9
"Лужин - вечный ребенок... я думаю... играя в шахматы... он пытался вновь прочувствовать то первое ощущение... тот заряд, который пробуждает любопытство от получения нового знания... ""повторить первоначальный сдобный хруст"" раздавленного жука...",8
"Уже отвыкла от книг, которые жалко дочитывать. И в которых бы всё так удачно сочеталось - и фентези, и юмор, и ""лирическая сторона дела"", при чем совершщенно не мешая друг другу.",10
"Как в стремлении быть взрослой, необходимой, любимой можно стать жертвой чужих психических проблем...",8
"Пожалуй, лучшая книга серии. Хотя, я бы предпочёл оценивать всю линейку, а не по частям. Кастанеда - это не повествование о трипах. Это новый взгляд. И конечно же, это дон Хуан...",10
Гениальная книга!,10
"Самая первая книга Олди, которую причитал. С тех пор Олди один из любимых писателей.",9
"впервые читая её более 10 лет назад, когда мне было лет 13-14, не хотелось не то, чтобы с подружками погулять, даже кушать забывала",10
у чувака шикарное чувство юмора,9
"Может, потому что в детстве любимой книгой был сборник британских сказок, ""Американские боги"" привели в полный восторг",9
"Очень интересный взгляд на продолжение истории средиземья Толкиена. Однако «последний кольценосец» это не столько героическое фэнтези, сколько шпионский боевик, происходящий на фоне поствоенной жизни средиземья. Не мог оторваться пока не дочитал )",10
"очень понравилась идея с РУНАМИ, когда кто-то жертвует умом, грацией, красотой, силой, метаболизмом и т.д. в пользу другого, а если таких много, а если тысячи..",10
единственная книга серии на 10 постоянно смеялся до слез,10
"прочитал с огромным удовольствием весь цикл у многих произведений описан подобный сюжет, когда сознание человека из нашего мира перемещается в мир фэнтези, живущий по своим законам, однако есть что-то присущее именно Дункану..",9
"легкое чтиво молодому человеку попадает в руки практически неуязвимый звездный крейсер, а так же куча сверхнового оборудования улыбнул момент, главные герои ""непросыхают"" ибо так часто прикладываться к бутылке, наполнить стакан, осушить очередной бокал и все это за каждые 20-30 минут повествования.. сильны однако люди будущего ))))",9
"истрория нескольких королевст в тяжелый переходный период эпох когда темное прошлое хочет вырваться на волю история юного Саймана, кухоного мальчишки постепенно перерастающего в рыцаря слегка затянуто, но после прочтения остался доволен",9
"дело, затронувшее самые нежные чувства Гаррета и продолжающее наше знакомство с миром Танфера",10
